"Anno di pubblicazione","ID prodotto","Handle","Titolo","rivista: denominazione","DOI","scopus: funding funders"
"2025","234265","11579/217305","Myoclonus‐Dystonia plus Syndrome in a Patient Carrying a Novel TCF20 Variant","MOVEMENT DISORDERS CLINICAL PRACTICE","10.1002/mdc3.14241",""
"2025","234284","11579/217322","Dialogo con Teresa Forcades. Dal nazionalismo ""buono"" alla ""teologia queer"". Alla ricerca di alternative possibili di fronte al naufragio dell'ordine liberale.","QUADERNO DI STORIA CONTEMPORANEA","",""
"2025","234304","11579/219003","Coping Strategies against Oppression in Social Workers’ Everyday Practice: Findings from a National Study","EUROPEAN JOURNAL OF SOCIAL WORK","10.1080/13691457.2025.2579966",""
"2025","234344","11579/217362","Comparative Analysis of Proximate, Nutritional, and Phytochemical Profiles of Soybean Varieties Using FTIR and HPLC","FOOD SCIENCE & NUTRITION","10.1002/fsn3.71072",""
"2025","234385","11579/217402","In situ sonoporation to enhance the tumour uptake of silicon phthalocyanine and improve PDT effectiveness in a triple negative breast cancer murine model","JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY","10.1016/j.jphotobiol.2025.113266","501100005010 - Associazione Italiana per la Ricerca sul Cancro; 501100005010 - Associazione Italiana per la Ricerca sul Cancro;"
"2025","234424","11579/217422","Comparing different positional encodings for the interpretation of medical images","","",""
"2025","234425","11579/217423","Popularity-based data placement in erasure-coded Edge Storage Systems","CLUSTER COMPUTING","10.1007/s10586-025-05701-6","100017142 - Gruppo Nazionale per il Calcolo Scientifico; 501100005699 - Università degli Studi del Piemonte Orientale;"
"2025","234444","11579/217482","La responsabilità penale del componente dell’Odv. Spunti per una nozione di potere impeditivo e una prospettiva de lege ferenda","JUS","",""
"2025","234446","11579/217443","Algorithms for Computing Very Large BWTs: a Short Survey","","10.4230/OASIcs.Manzini.2025.7","501100003593 - Conselho Nacional de Desenvolvimento Científico e Tecnológico; 501100003593 - Conselho Nacional de Desenvolvimento Científico e Tecnológico; 501100003196 - Ministero della Salute; 501100003196 - Ministero della Salute; 501100004901 - Fundação de Amparo à Pesquisa do Estado de Minas Gerais; 501100004901 - Fundação de Amparo à Pesquisa do Estado de Minas Gerais;"
"2025","234447","11579/217442","Preclinical evaluation of [68Ga]Ga-AAZTA-FAPI-46: a novel PET tracer for targeting fibroblast activation protein (FAP)","EJNMMI RADIOPHARMACY AND CHEMISTRY","10.1186/s41181-025-00375-2","501100021856 - Ministero dell'Università e della Ricerca;"
"2025","234465","11579/217462","Crisis de la identidad colectiva de clase en el cine de Ken Loach.","IGLESIA VIVA","",""
"2025","234484","11579/219256","Option pricing with a compound CARMA(p, q)-Hawkes","QUANTITATIVE FINANCE","10.1080/14697688.2025.2519841",""
"2025","234485","11579/219255","Modelling jumps with CARMA(p,q)-Hawkes: An application to corporate bond markets","FINANCE RESEARCH LETTERS","10.1016/j.frl.2024.106563","501100002954 - Università degli Studi di Milano-Bicocca; 100023966 - Department of Economics, University of Maryland, Baltimore County; 100012740 - Gruppo Nazionale per l'Analisi Matematica, la Probabilità e le loro Applicazioni; 100009112 - Istituto Nazionale di Alta Matematica ""Francesco Severi""; 501100003407 - Ministero dell’Istruzione, dell’Università e della Ricerca; 501100003407 - Ministero dell’Istruzione, dell’Università e della Ricerca; 501100003382 - Core Research for Evolutional Science and Technology; 501100003382 - Core Research for Evolutional Science and Technology;"
"2025","234664","11579/217562","Aldo Agosti, Marina Cassi, Un eroe senza medaglie. Luigi Capriolo dall’anti-fascismo alla Resistenza, Donzelli, Roma 2024, 208 pp.","HISTORIA MAGISTRA","",""
"2025","234667","11579/217563","Contrast-enhanced mammography versus breast MRI: a multidimensional cost-effectiveness analysis","LA RADIOLOGIA MEDICA","10.1007/s11547-025-02122-8",""
"2025","234724","11579/217603","Becoming a Family and Community Nurse: Navigating Role Identity in a Fragmented System. A Phenomenological Study","GLOBAL QUALITATIVE NURSING RESEARCH","10.1177/23333936251384438","501100005699 - Università degli Studi del Piemonte Orientale; 501100021856 - Ministero dell'Università e della Ricerca;"
"2025","234725","11579/217602","Handbook on Accounting and Control in Family Business - Capitolo 4. Performance measurement in family business, di  
Paola Vola","","",""
"2025","234747","11579/217605","CORPORATE PURPOSE: DOES FAMILY BUSINESS MATTER?","","",""
"2025","234764","11579/217622","High-Grade Vaginal Intraepithelial Neoplasia: Clinical Profile, HPV Vaccination Status, and Treatment Outcomes at Two Italian Referral Centers","VACCINES","10.3390/vaccines13111089",""
"2025","234768","11579/217623","Rete multi-attore nelle politiche per persone anziane e con disabilità: il caso di Novara","AUTONOMIE LOCALI E SERVIZI SOCIALI","10.1447/118348",""
"2025","234771","11579/217642","Verso una teo-logica dei ""doppi pensieri"": Italo Mancini","","",""
"2025","234784","11579/217662","EHA-EU MCL network guidelines for diagnosis and treatment of mantle cell lymphoma","HEMASPHERE","10.1002/hem3.70233",""
"2025","234804","11579/217682","Luigi Pareyson Piasco (Cn) 1918 - Segrate (Mi) 1991","NUOVO GIORNALE DI FILOSOFIA DELLA RELIGIONE","",""
"2025","235084","11579/217842","Gli avverbi pronominali in da(r)-: funzioni testuali e osservazioni didattico-contrastive","","10.13133/9788893774093",""
"2025","235126","11579/217863","Microsurgical Calcaneus Osteocutaneous Fillet Flap for Below-Knee Amputation Salvage: A Case-Based Surgical Technique with Long-Term Outcomes","INDIAN JOURNAL OF ORTHOPAEDICS","10.1007/s43465-025-01569-1",""
"2025","235128","11579/217864","Reconstruction of a Chronic Quadriceps Tendon Rupture in an Elderly Polio Patient","BIOMEDICINES","10.3390/biomedicines13061363",""
"2025","235129","11579/217865","Direct Flexor Tendon Repair More than 3 Months After Trauma: Clinical Outcomes of Four Consecutive Cases and Scoping Review on Time Limits","JOURNAL OF CLINICAL MEDICINE","10.3390/jcm14165796",""
"2025","235130","11579/217866","Bias cognitivi e distorsioni nella valutazione d'azienda","RIVISTA DEI DOTTORI COMMERCIALISTI","",""
"2025","235144","11579/217882","Fast chlorophyll a fluorescence induction (OJIP) phenotyping of Arabidopsis single and higher order mutants depleted of proteins involved in donor and acceptor side function of Photosystem II.","PLANT PHYSIOLOGY AND BIOCHEMISTRY","10.1016/j.plaphy.2025.110646",""
"2025","235185","11579/218003","Non-colorectal liver metastases undergoing liver resection: the NONCOLMET study group","DIGESTIVE SURGERY","10.1159/000548423",""
"2025","235186","11579/218005","COVID-19 infection is a significant risk factor for death in patients presenting with acute cholecystitis: a secondary analysis of the ChoCO-W cohort study","WORLD JOURNAL OF EMERGENCY SURGERY","10.1186/s13017-025-00591-w",""
"2025","235188","11579/217982","Adequate lymphadenectomy and adjuvant capecitabine warrant survival benefit in gallbladder cancer","EUROPEAN JOURNAL OF SURGICAL ONCOLOGY","10.1016/j.ejso.2025.110318",""
"2025","235190","11579/217963","Challenges in early career for HPB surgeons: an international practice survey","HPB","10.1016/j.hpb.2025.02.010",""
"2025","235191","11579/217962","Correction: Analysis of Short-Term Outcomes in Pancreatic Surgery with Vascular Resection from a Prospective Multicenter Global Study (Annals of Surgical Oncology, (2025), 10.1245/s10434-025-17911-8)","ANNALS OF SURGICAL ONCOLOGY","10.1245/s10434-025-18348-9",""
"2025","235193","11579/217949","Extended pharmacological thromboprophylaxis and clinically relevant venous thromboembolism after major abdominal and pelvic surgery: International, prospective, propensity score-weighted cohort study","BRITISH JOURNAL OF SURGERY","10.1093/bjs/znaf005","501100000855 - University of Birmingham; 100014231 - European Society of Coloproctology; 100014231 - European Society of Coloproctology;"
"2025","235197","11579/217948","A systematic review of the predictive factors for the recurrence of acute pancreatitis","WORLD JOURNAL OF EMERGENCY SURGERY","10.1186/s13017-025-00601-x","100031478 - NextGenerationEU; 501100000780 - European Commission; 501100003407 - Ministero dell’Istruzione, dell’Università e della Ricerca; 501100003407 - Ministero dell’Istruzione, dell’Università e della Ricerca;"
"2025","235198","11579/217947","Textbook Outcomes and Minimally Invasive Techniques in Resectable Gallbladder Cancer: A Global Cohort Study","EUROPEAN JOURNAL OF SURGICAL ONCOLOGY","10.1016/j.ejso.2025.110284",""
"2025","235202","11579/217945","Pancreatic exocrine insufficiency after pancreatic resection: a systematic review","BMC SURGERY","10.1186/s12893-025-02787-y",""
"2025","235206","11579/217944","Management of intrahepatic cholangiocarcinoma: a review for clinicians","GASTROENTEROLOGY REPORT","10.1093/gastro/goaf005",""
"2025","235207","11579/217902","Routine Imaging or Symptomatic Follow-Up After Resection of Pancreatic Adenocarcinoma","JAMA SURGERY","10.1001/jamasurg.2024.5024",""
"2025","235208","11579/217943","Robot-assisted and laparoscopic extended left pancreatectomy: a pan-European multicenter propensity-score matched analysis","ANNALS OF SURGERY","10.1097/SLA.0000000000006812",""
"2025","235225","11579/217942","Hepato-renal hydatid cyst: a case report of diagnosis and management of an uncommon disease presentation","INTERNATIONAL JOURNAL OF SURGERY CASE REPORTS","10.1016/j.ijscr.2025.111597",""
"2025","235229","11579/217922","Recurrence patterns and post-recurrence survival of patients with bilobar colorectal liver metastases: international multicentre retrospective study","BRITISH JOURNAL OF SURGERY","10.1093/bjs/znaf003",""
"2025","235284","11579/218022","Heavy Metals Affect the Antioxidant Defences in the Soil Ciliate Rigidohymena tetracirrata","JOURNAL OF XENOBIOTICS","10.3390/jox15050169","501100003407 - Ministero dell’Istruzione, dell’Università e della Ricerca;"
"2025","235304","11579/218042","The Biological Role and Clinical Significance of BECLIN-1 in Cancer","INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","10.3390/ijms26199380",""
"2025","235306","11579/218043","The Anti-Inflammatory, Immunomodulatory, and Pro-Autophagy Activities of Probiotics for Colorectal Cancer Prevention and Treatment: A Narrative Review","BIOMEDICINES","10.3390/biomedicines13071554",""
"2025","235308","11579/218044","P53-Induced Autophagy Degradation of NKX3-2 Improves Ovarian Cancer Prognosis","CELLS","10.3390/cells14110765","501100003407 - Ministero dell’Istruzione, dell’Università e della Ricerca;"
"2025","235309","11579/218045","Fungal Bioactive Compounds as Emerging Therapeutic Options for Age-Related Neurodegenerative Disorders","INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","10.3390/ijms26104800","501100004710 - Fondazione Umberto Veronesi;"
"2025","235310","11579/218046","Probiotic-Derived Metabolites from Lactiplantibacillus plantarum OC01 Reprogram Tumor-Associated Macrophages to an Inflammatory Anti-Tumoral Phenotype: Impact on Colorectal Cancer Cell Proliferation and Migration","BIOMEDICINES","10.3390/biomedicines13020339","100015565 - Consorzio Interuniversitario Biotecnologie;"
"2025","235364","11579/218062","Non-Invasive Hemodynamic Monitoring in Critically Ill Patients: A Guide for Emergency Physicians","JOURNAL OF CLINICAL MEDICINE","10.3390/jcm14197002",""
"2025","235365","11579/218063","An overview of controlled sediment flushing operations: Perception, issues and management strategies across the European Alps","JOURNAL OF HYDROLOGY. REGIONAL STUDIES","10.1016/j.ejrh.2025.102570","501100021856 - Ministero dell'Università e della Ricerca; 100031478 - NextGenerationEU; 100031478 - NextGenerationEU;"
"2025","235387","11579/218086","Filosofia politica e filosofia della storia nel pensiero di Rousseau","","",""
"2025","235424","11579/218102","Special Issue: ""Advances in Immunotherapy for Cancer: From Molecular Basis to Novel Biomarkers and Therapeutic Targets""","INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","10.3390/ijms26199696",""
"2025","235425","11579/218103","Editorial: Metabolic reprogramming in cancer","FRONTIERS IN PHARMACOLOGY","10.3389/fphar.2025.1583986",""
"2025","235524","11579/218142","Arzanol Inhibits Human Dihydroorotate Dehydrogenase and Shows Antiviral Activity","JOURNAL OF NATURAL PRODUCTS","10.1021/acs.jnatprod.5c00887",""
"2025","235584","11579/218222","Tailoring the formulation of wholemeal wheat flour: the selection and recombination of milling fractions to control acrylamide and deoxynivalenol contamination","FOOD CHEMISTRY X","",""
"2025","235604","11579/218242","The effectiveness of training programmes in reducing short peripheral 
intravenous catheter failures: A systematic review","NURSE EDUCATION IN PRACTICE","10.1016/j.nepr.2025.104608",""
"2025","235726","11579/218282","Profiling cognition and brain metabolism in amyotrophic lateral sclerosis and frontotemporal dementia","BRAIN","10.1093/brain/awaf401",""
"2025","235764","11579/218322","Responsabilità e prevenzione: un parallelismo tra il riformato art. 2407 c.c. e gli artt. 1913-1915 c.c.","IL DIRITTO FALLIMENTARE E DELLE SOCIETÀ COMMERCIALI","",""
"2025","235784","11579/218342","A European multicenter retrospective study of hospitalized patients with severe odontogenic infections","JOURNAL OF DENTISTRY","10.1016/j.jdent.2025.106183",""
"2025","235825","11579/218364","Targeting the antioxidant, antimicrobial and anti-inflammatory activity of non-psychotropic Cannabis sativa L.: a comparison with chemotype V","JOURNAL OF CANNABIS RESEARCH","10.1186/s42238-025-00336-1",""
"2025","235865","11579/218422","Electrospun textiles from decellularized bovine pericardium and polyvinyl alcohol (PVA) supporting blood coagulation: innovative approach in biomaterials for research purposes","FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY","10.3389/fbioe.2025.1539759",""
"2025","235884","11579/218442","Phytochemical composition, antioxidant activity, and sensory evaluation of edible flower-enriched vinegars","FOOD CHEMISTRY","10.1016/j.foodchem.2025.146897",""
"2025","235984","11579/218482","Positive communication for decreasing burnout in intensive-care-unit staff: a cluster-randomized trial","INTENSIVE CARE MEDICINE","10.1007/s00134-025-08134-2","501100013347 - European Society of Intensive Care Medicine;"
"2025","235993","11579/218484","Morphological and Molecular Evaluation of a Gel Based on Hyaluronic Acid and Spermidine for Oral Regenerative Purposes","CELLS","10.3390/cells14141047",""
"2025","236004","11579/218502","Il fenomeno del film tourism nel marketing delle destinazioni","","",""
"2025","236006","11579/218503","Building Resilience: The Impact of Managerial Training on Organizational Adaptation During Crisis","","",""
"2025","236264","11579/218542","Quantum Chemistry Calculations of Circularly Polarized Luminescence (CPL): From Spectral Modeling to Molecular Design","CHEMICAL REVIEWS","10.1021/acs.chemrev.5c00359",""
"2025","236444","11579/218582","Sharp inequalities and asymptotics for polyharmonic eigenvalues","CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS","10.1007/s00526-025-03069-4","100012740 - Gruppo Nazionale per l'Analisi Matematica, la Probabilità e le loro Applicazioni; 100009112 - Istituto Nazionale di Alta Matematica ""Francesco Severi""; 100009112 - Istituto Nazionale di Alta Matematica ""Francesco Severi""; 501100000780 - European Commission; 501100000780 - European Commission; 501100001871 - Fundação para a Ciência e a Tecnologia; 501100001871 - Fundação para a Ciência e a Tecnologia;"
"2025","236446","11579/218584","Fair Termination for Resource-Aware Active Objects","","10.1007/978-981-95-3585-9_2",""
"2025","236448","11579/218585","Correct implementation of agent interaction protocols","FRONTIERS IN COMPUTER SCIENCE","10.3389/fcomp.2025.1659785",""
"2025","236484","11579/218602","Marked survival gains in patients ≤ 65 years with advanced-stage mantle cell lymphoma: a pooled analysis of six randomized phase III trials, 1996-2020","HAEMATOLOGICA","10.3324/haematol.2025.288929",""
"2025","236545","11579/218622","Board gender diversity, spillover effects on managerial training and firm performance","","",""
"2025","236624","11579/218890","La caserma Perrone diventa sede universitaria","","",""
"2025","236644","11579/218642","RISORSE UMANE E AI: FAREMO GESTIRE LE PERSONE DALL'INTELLIGENZA ARTIFICIALE?","SVILUPPO & ORGANIZZAZIONE","",""
"2025","236704","11579/218703","Do Outpatient Services Impact Length of Stay? A Preliminary Analysis through Deep Learning Classification","","",""
"2025","236706","11579/218702","Noninvasive genotyping and early disease dynamics demonstrate the efficacy of ibrutinib in combination with immunochemotherapy in patients with mantle cell lymphoma treated in the TRIANGLE trial","LEUKEMIA","10.1038/s41375-025-02787-0",""
"2025","236724","11579/218722","Acute Myeloid Leukemia: A Key Role of DGKα and DGKζ in Cell Viability","CELLS","10.3390/cells14211721",""
"2025","236725","11579/218723","La legislazione sociale in Italia. Modelli e prospettive in sociologia","","",""
"2025","236744","11579/218743","On solutions to a class of degenerate equations with the Grushin operator","JOURNAL OF DIFFERENTIAL EQUATIONS","10.1016/j.jde.2025.113666","100012740 - Gruppo Nazionale per l'Analisi Matematica, la Probabilità e le loro Applicazioni; 100009112 - Istituto Nazionale di Alta Matematica ""Francesco Severi""; 501100000780 - European Commission; 501100000780 - European Commission;"
"2025","236745","11579/218742","Orologeria barocca: un sonetto in reatino di Loreto Mattei","LETTERATURA E DIALETTI","",""
"2025","236764","11579/218744","In principio era Marino? Il poeta e il motivo dell'orologio","RIVISTA DI LETTERATURA ITALIANA","",""
"2025","236766","11579/218762","Uno sconfinamento barocco nel Settecento: Giuseppe D'Alessandro e le poesie sull'orologio","STUDI SUL SETTECENTO E L'OTTOCENTO. RIVISTA INTERNAZIONALE DI ITALIANISTICA","",""
"2025","236805","11579/219582","Board gender diversity and sustainability: a literature review","INTERNATIONAL JOURNAL OF FINANCIAL RESEARCH","10.5430/ijfr.v16n3p95",""
"2025","236844","11579/218782","Il dibattito delle origini tra pensiero emancipazionista, Gramsci e il leninismo","","",""
"2025","236848","11579/218784","Rendicontazione non finanziaria e ""Sustainable Procurement"": un codice di condotta per i fornitori.","MODULO24 BILANCIO E NON FINANCIAL REPORTING","",""
"2025","236850","11579/218785","La concentrazione della catena di fornitura come vantaggio competitivo nella rendicontazione di sostenibilità dei grandi marchi del lusso.","MODULO24 BILANCIO E NON FINANCIAL REPORTING","",""
"2025","236867","11579/218802","ESG Non-Financial Information for Early Warning and Preventive Restructuring: The Italian Case CAP.7 in : The Evolution or 
Revolution of European Insolvency Law.","","",""
"2025","236884","11579/218803","Active Breaks in Primary and Secondary School Children and Adolescents: The Point of View of Teachers","HEALTHCARE","10.3390/healthcare13192482",""
"2025","236886","11579/218804","Investigating facilitators and barriers of university-based administrative staff, residents and researchers to implement an active breaks intervention: a mixed-methods study","BMJ OPEN","10.1136/bmjopen-2024-093781","501100005969 - Università di Bologna;"
"2025","236887","11579/218824","Strumenti per intraprendere un percorso volontario di rendicontazione di sostenibilità","MODULO24 BILANCIO E NON FINANCIAL REPORTING","",""
"2025","236904","11579/218822","[Playground marking for contrasting sedentary lifestyle: systematic literature review]","EPIDEMIOLOGIA E PREVENZIONE","10.19191/EP25.2-3.A838.028",""
"2025","236905","11579/218823","Aggression and sport: A cross-sectional study on behavioral tendencies of athletes","JOURNAL OF BODYWORK AND MOVEMENT THERAPIES","10.1016/j.jbmt.2025.03.001",""
"2025","236906","11579/218825","Changing Food in a Changing World: Assessing Compliance to Insects, Cultivated Meat, and Soil-Less Products Among Italian Undergraduates","NUTRIENTS","10.3390/nu17050909",""
"2025","236908","11579/218827","Italy: Sustainable Finance in Italy CAP.14 in : Sustainable Finance Regulation in the European Union","","",""
"2025","236909","11579/218826","Investigating Neophobia Towards New Food Technologies in Italy: The CoNF&TTI Cross-Sectional Study","NUTRIENTS","10.3390/nu17172825",""
"2025","236912","11579/218842","Il ruolo dell’ecodesign e la misurazione della circolarità nelle dichiarazioni sulla sostenibilità.","MODULO24 BILANCIO E NON FINANCIAL REPORTING","",""
"2025","236924","11579/218862","Supply Chain Concentration as a Competitive Advantage in the Sustainability Reporting of Major Fashion Brands CAP.6 in: Fashion Industry - Advancements in Product Development, Retail, and Marketing","","10.5772/intechopen.1012749",""
"2025","236964","11579/218882","Factors Associated with the Variation in Drug Prescription of Analgesics in Long-Term Care Facilities: A Systematic Review","JOURNAL OF CLINICAL MEDICINE","10.3390/jcm14217833",""
"2025","236974","11579/218886","Peri-Operative Nursing of Patients with Malignant Hyperthermia: A Narrative Literature Review","SURGERIES","10.3390/surgeries6030078",""
"2025","236978","11579/218887","Impact on well-being and motivation to physical activity practice by ‘Moving Park’ project in Italy","SPORT SCIENCES FOR HEALTH","10.1007/s11332-025-01447-1",""
"2025","236988","11579/218903","Evaluation of TAM Receptor Targeting in Pathophysiology of Idiopathic Pulmonary Fibrosis","MEDICINA","10.3390/medicina61101837",""
"2025","237004","11579/218922","Dynamic Bayesian Networks for the Detection and Analysis of Cyber Attacks to Power Systems","IEEE ACCESS","10.1109/access.2025.3624345",""
"2025","237065","11579/218942","Use of rescue noninvasive ventilation for post-extubation respiratory failure","CRITICAL CARE","10.1186/s13054-025-05689-w","501100022617 - Fisher and Paykel Healthcare; 501100003196 - Ministero della Salute;"
"2025","237069","11579/218943","Tra décentralisation e tutelle: uno spazio ridotto per i poteri sostitutivi nell’ordinamento francese","DIRITTO COSTITUZIONALE","",""
"2025","237072","11579/218944","External Audit in High School and Graduates’ Labour Market Outcomes","","",""
"2025","237186","11579/218962","Accurate and robust method for plant volatilome analysis by GC-MS","TALANTA OPEN","10.1016/j.talo.2025.100578",""
"2025","237225","11579/218982","Accurate and robust method for plant volatilome analysis by GC-MS","","",""
"2025","237244","11579/219002","Primary and middle school students' views on inclusive physical education: Perceptions, practices, and future directions","HELIYON","10.1016/j.heliyon.2024.e41232",""
"2025","237267","11579/219022","RETHINKING HRM FOR DISABILITY: LEARNING FROM THE PAST, SHAPING THE FUTURE","","",""
"2025","237270","11579/219023","Professionalization of family business","","",""
"2025","237273","11579/219024","UNDERSTANDING SMART WORKING THROUGH THE EYES OF GENERATION Z","","",""
"2025","237332","11579/219402","Intracranial Nonstenosing Atherosclerotic Plaques Assessed With Vessel Wall MRI in Patients With Embolic Stroke of Undetermined Source","NEUROLOGY","10.1212/wnl.0000000000213833","501100003196 - Ministero della Salute;"
"2025","237344","11579/219550","Apomorphine Subcutaneous Infusion Likely Induced Acute Thrombocytopenia in a Patient with Parkinson's Disease and Motor Fluctuations","MOVEMENT DISORDERS CLINICAL PRACTICE","10.1002/mdc3.14216","501100004769 - Università degli Studi di Pavia;"
"2025","237384","11579/219062","SINEUP RNA rescues molecular phenotypes associated with CHD8 suppression in autism spectrum disorder model systems","MOLECULAR THERAPY","10.1016/j.ymthe.2024.12.043","501100001677 - Institut National de la Santé et de la Recherche Médicale; 501100004794 - Centre National de la Recherche Scientifique; 501100009531 - Istituto Italiano di Tecnologia; 501100004004 - Università degli Studi di Trento; 501100004431 - Fondation de France; 501100008530 - European Regional Development Fund; 501100001665 - Agence Nationale de la Recherche; 501100001665 - Agence Nationale de la Recherche; 100000874 - Brain and Behavior Research Foundation; 100000874 - Brain and Behavior Research Foundation;"
"2025","237404","11579/219082","Realization of a management models to support rice varietal decisions.","","",""
"2025","237405","11579/219083","Evaluation of the association of a PGPB RCA25 with introgression lines (ILs) of Oryza rufipogon x Oryza sativa cv Vialone Nano","","",""
"2025","237412","11579/219084","Internal ribosome entry sites enhance translation in trans in antisense non-coding SINEUP and circular RNAs","NUCLEIC ACIDS RESEARCH","10.1093/nar/gkaf788",""
"2025","237413","11579/219085","Legal Considerations on Predictive Policing Based on the Italian ‘Algorithmic Administration’ Principles","YEARBOOK OF ANTITRUST AND REGULATORY STUDIES","",""
"2025","237444","11579/219102","A longitudinal analysis of accounting and control in Italian family business over twenty years","","",""
"2025","237504","11579/219142","Managerial Control Systems in family business: determinants, contexts, and packages","","",""
"2025","237506","11579/219143","From Adversity to Adaptation: Unveiling Organisational Resilience in Family SMEs.","","",""
"2025","237507","11579/219144","Case PONTI","","",""
"2025","237684","11579/219242","Biofilm prevention and quorum sensing interference via surface-bound peptoid","SURFACES AND INTERFACES","10.1016/j.surfin.2025.107390",""
"2025","237685","11579/219243","Bacteriostatic, silver-doped, zirconia-based thin coatings for temporary fixation devices tuning stem cells' expression of adhesion-relevant genes and proteins","BIOMATERIALS ADVANCES","10.1016/j.bioadv.2025.214360",""
"2025","237686","11579/219244","3D-printed β-TCP scaffold as a bone-mimicking environment for an engineered model of osteosarcoma: In vitro properties and transcriptomic insights","MATERIALS TODAY BIO","10.1016/j.mtbio.2025.101766",""
"2025","237687","11579/219245","Tellurium-Doped Silanised Bioactive Glass–Chitosan Hydrogels: A Dual Action for Antimicrobial and Osteoconductive Platforms","POLYMERS","10.3390/polym17121651",""
"2025","237688","11579/219246","Gellan gum/tannic acid hydrogels for cartilage repair: the versatile role of tannic acid as green crosslinker conferring antibacterial and anti-inflammatory properties","CARBOHYDRATE POLYMER TECHNOLOGIES AND APPLICATIONS","10.1016/j.carpta.2025.100860",""
"2025","237689","11579/219247","Surface modifications of inert and bioactive glasses with plasma-deposited polymer coatings to impart antiadhesive properties","SURFACES AND INTERFACES","10.1016/j.surfin.2025.106346",""
"2025","237690","11579/219248","Silanized and Cu-doped bioactive glass as filler for biobased photocurable 3D printed scaffolds","MATERIALS TODAY CHEMISTRY","10.1016/j.mtchem.2025.102559",""
"2025","237691","11579/219249","Analytical and biological characterization of Gellan Gum-Pomegranate Peel Extract hydrogel: combining mechanical, antibacterial, anti-inflammatory and pro-regenerative properties for cartilage healing","CARBOHYDRATE POLYMER TECHNOLOGIES AND APPLICATIONS","10.1016/j.carpta.2025.101032",""
"2025","237692","11579/219250","Polyphenols promote stem cell surface adaptation onto low-adhesion chitosan-titanium through protein synthesis and cytoskeletal remodeling","BIOMATERIALS ADVANCES","10.1016/j.bioadv.2025.214584",""
"2025","237696","11579/219251","Framing Well-Being in Sustainability Annual Reports: A Case Study from the Coffee Industry","INTERNATIONAL JOURNAL OF ENGLISH LINGUISTICS","10.5539/ijel.v15n7p103",""
"2025","237703","11579/219254","Background wage premia, beyond education: Firm sorting and unobserved abilities of graduates","ECONOMICS OF EDUCATION REVIEW","10.1016/j.econedurev.2025.102733.",""
"2025","237725","11579/219322","Algilà: tecnologia e servizio al cliente per la strategia competitiva alberghiera","","",""
"2025","237750","11579/219323","Grand Hotel Terme & Spa: l’evoluzione del marketing nel turismo termale e del benessere","","",""
"2025","237784","11579/219342","Diet, nutrition, regimen: food and healthcare in 18th-century British midwifery","INTERNATIONAL JOURNAL OF ENGLISH LINGUISTICS","10.5539/ijel.v15n7p19",""
"2025","237804","11579/219362","Misure di adattamento ai cambiamenti climatici per le imprese agricole e le comunità rurali","IL NUOVO DIRITTO DELLE SOCIETÀ","",""
"2025","237824","11579/219382","Validation of the Italian version of the Pregnancy Physical Activity Questionnaire","ANNALI DI IGIENE MEDICINA PREVENTIVA E DI COMUNITÀ","10.7416/ai.2025.2696",""
"2025","237825","11579/219383","Sleep Quality and Glycemic Control in Type 1 Diabetes: A Retrospective Cohort Study Using Advanced Technological Devices","DIABETOLOGY","10.3390/diabetology6030021",""
"2025","237828","11579/219386","A short-medium time point evaluation of active breaks on selective and sustained attention in primary school: a pilot quasi-experimental study","MENTAL HEALTH AND PHYSICAL ACTIVITY","10.1016/j.mhpa.2025.100703",""
"2025","237830","11579/219387","Lavoro e comunità dei beni nelle utopie inglesi del Seicento","","",""
"2025","237831","11579/219388","Europeità globale/Global Europeanness, 1450- 1900","","",""
"2025","237845","11579/219422","Endogenous Money and the Supermultiplier","","10.4324/9781003632528",""
"2025","237868","11579/219442","Conflict Inflation","","10.4324/9781003600732",""
"2025","237944","11579/219482","Lower Expression of SARS-CoV-2 Host Cell Entry Genes in the Intestinal Mucosa of IBD Patients With Quiescent or Mildly Active Disease","INFLAMMATORY BOWEL DISEASES","10.1093/ibd/izaf079","501100004710 - Fondazione Umberto Veronesi; 501100004710 - Fondazione Umberto Veronesi;"
"2025","237945","11579/219483","The Dual Role of ACE2 in IBD: Balancing SARS-CoV-2 Susceptibility and Gut Homeostasis.","INFLAMMATORY BOWEL DISEASES","10.1093/ibd/izaf132","501100004710 - Fondazione Umberto Veronesi; 501100004710 - Fondazione Umberto Veronesi;"
"2025","237964","11579/219502","PrACSi. Un corpus task-based di italiano parlato per promuovere lo sviluppo della competenza pragmatica","RASSEGNA ITALIANA DI LINGUISTICA APPLICATA","",""
"2025","237966","11579/219504","Spoken communication in primary school. A classroom-based case study on requests","","",""
"2025","237967","11579/219505","Incarnazione: alle radici dell'esperienza del reale. Gabriel Marcel","","",""
"2025","237968","11579/219506","Narrarsi. L’autobiografia come forma di cura di sé","DIALOGHI","",""
"2025","237969","11579/219507","Introduction","","",""
